File	Type	Individual	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21	x22	y22	x23	y23	x24	y24
49_176.txt	F2	176	12.6562	13.8646	13.1302	10.2865	7.901	6.2865	7.4844	3.6094	10.2031	4.1927	11.8906	6.3594	10.9531	3.9427	11.8385	1.526	13.8906	3.276	14.3698	6.0885	14.3594	3.1719	16.0365	1.349	17.3073	3.6094	16.3385	6.4948	17.401	3.8594	19.599	2.6927	19.9635	5.026	18.1719	7.2969	20.2656	4.9948	22.776	4.7031	22.4635	7.0677	19.7448	8.974	16.9219	10.3802	17.224	13.9531
49_177.txt	F2	177	10.8438	14.9375	11.0052	11.6198	7.2552	8.8177	7.3802	6.7135	9.2656	7.2552	10.724	9.6406	9.4323	7.0365	10.3385	4.9323	12.026	6.2448	12.4844	9.1719	12.6302	6.276	14.2969	4.8698	15.1719	6.7656	14.3698	9.3594	15.7031	7.3385	17.901	6.6823	17.8281	8.8385	15.8177	10.7552	17.7344	9.3073	19.9531	9.849	18.9531	11.526	16.4219	12.2448	14.2552	12.526	14.4531	15.1615
49_178.txt	F2	178	11.6771	15.2917	11.6302	11.5052	5.276	11.8073	3.0781	10.3594	5.2865	8.6406	8.9219	9.3177	6.2344	7.276	5.5677	4.5052	8.526	5.151	10.6406	7.724	9.0469	4.7865	9.5365	1.9427	11.7135	3.5781	12.7448	6.8802	12.4531	3.4531	14.0677	1.276	15.2656	3.6406	14.974	7.0156	15.9844	3.8802	18.2656	2.3281	18.901	4.8385	17.0885	7.8698	14.9115	11.1927	15.5573	14.7031
49_179.txt	F2	179	16.625	15.7396	15.9427	11.6615	21.3906	11.8385	23.599	9.7969	20.5885	8.8698	18.0156	9.6823	20.474	7.6198	20.9635	4.6615	18.1198	5.2969	16.1615	7.849	17.1615	4.9531	16.276	2.0885	14.1719	4.2865	13.7031	7.2031	12.9635	3.6927	10.901	1.9427	10.224	4.724	11.4948	7.9115	9.3802	5.4948	6.6302	4.7969	7.3906	7.6823	9.7031	9.5677	12.2031	10.9635	11.5677	15.6302
49_180.txt	F2	180	15.4375	14.7292	14.8906	11.349	20.6615	8.2135	21.3802	5.8385	19.0677	6.151	16.2969	8.9948	18.4948	6.1615	18.349	3.4219	15.8802	4.9323	14.6927	8.2135	15.1719	4.2031	13.526	1.9427	12.4427	4.2656	12.8177	7.9427	12.1302	4.276	9.9115	2.5573	9.2448	5.0885	10.8802	8.4635	8.099	5.974	5.3281	5.4531	6.1823	7.8802	9.5365	10.0365	12.0573	11.2969	11.6719	14.7865
49_181.txt	F2	181	13	16.3646	12.099	13.7344	17.1094	11.1198	18.3802	8.7135	15.8385	9.224	13.6719	10.974	15.0365	8.3385	15.099	5.776	13.0885	7.224	11.9219	9.8802	11.9844	6.5781	10.8073	4.8802	9.7656	6.7552	9.849	9.8281	8.776	6.901	7.0469	5.7552	6.6302	7.9635	7.9844	10.9115	5.349	8.849	3.026	8.5885	4.0885	10.7552	6.3906	12.2552	8.9427	13.5052	8.8073	16.4948
49_182.txt	F2	182	14.625	16.3333	16.2656	12.9635	23.9844	11.026	25.8385	8.651	22.8594	8.349	18.7031	10.1823	22.3073	6.9948	22.6615	4.2135	19.8281	4.9427	16.7552	8.4323	17.6094	4.1302	16.3698	1.3281	14.6198	3.7031	14.1615	7.9844	13.2344	3.2031	11.1927	1.0365	10.1302	3.9635	11.6198	8.5365	9.1823	5.0156	6.276	3.6094	6.651	6.4844	9.8177	10.1927	12.3802	12.1198	10.9323	14.6823
49_183.txt	F2	183	16.7396	17.0625	16.6615	13.5469	21.776	11.9948	23.2344	9.3802	20.3906	9.2344	17.9323	11.0573	19.7448	8.2865	19.3177	5.7552	17.5365	6.9635	16.2656	9.849	16.8073	7.0677	15.3177	4.6719	13.7552	7.0156	14.0781	9.9635	13.1094	6.8073	10.8906	5.4115	10.4635	8.1927	12.026	10.7448	9.5052	9.0885	6.7031	9.6823	8.4948	11.849	11.1198	12.8177	13.3698	13.9844	12.9323	17.0052
49_184.txt	F2	184	13.9167	16.8229	13.474	12.5885	19.8802	9.0469	20.401	6.1094	17.2969	6.8281	15.1406	9.4948	16.8594	6.3073	16.3594	3.3802	13.7031	4.8802	12.8177	8.7865	12.8594	5.0469	11.1927	2.5677	9.6823	5.1615	10.6198	8.8594	8.7865	5.5156	5.7448	4.1302	5.8594	7.4427	8.4115	10.1406	5.3073	8.1198	1.8802	8.5885	3.8802	11.474	7.349	12.3698	10.8073	12.9219	9.6094	16.6927
49_185.txt	F2	185	13.3229	13.9062	13.8906	10.3906	7.724	7.026	6.7552	4.599	9.2448	5.0885	12.4323	7.8177	10.4635	4.3073	10.5573	1.6927	12.5573	3.3177	14.3073	6.9115	14.0573	2.9323	15.3385	0.224	16.4948	2.8802	16.2448	7.0156	17.4635	2.7031	19.3698	1.0469	19.8802	3.401	18.1094	7.526	20.9948	5.1719	23.6406	4.6302	22.9323	6.5156	19.2865	9.0365	16.7969	10.0469	17.7656	13.6198
