Anther.Color,Anther.length,Anther.width,Calyx.length,Calyx.sinus,Calyx.tooth,Corolla.length,Filament.Color,Floral buds,Free.filament,ID,Internode,Lobe.length,Lobe.width,Main flower,Major.length.diameter,Midrib,Ovary,Pedicel.length,Petal.Color,Solitary Flowers,Stamen.length,Stigma.length,Style.length,Throat,Tube.length,Tube.width
,0.658,0.456,3.737,1.49,2.09,6.94,,70,0.268,yor-jd1,,4.456,1.95,84,18.5,0.356,0.712328767,,,,3.934,1.16,5.17,1.47,2.29,2.29
,0.67,0.545,2.765,1.303,1.32,9.39,,70,0.534,yor-jd2,,6.044,2.296,88,13,0.37,0.863636364,,,,5.85,1.075,6.44,2.075,3.39,2.4
,0.91,0.688,3.594,1.665,1.872,10.35,,60,0.652,yor-jd3,11,6.854,2.734,66,18,0.46,0.810526316,8,,1,6.6,0.905,6.75,2.348,3.67,2.74
,0.852,0.624,3.296,1.595,1.684,8.68,,57,0.446,yor-jd4,16,5.69,2.115,75,19.9,0.384,0.705882353,11,,1,5.154,1.025,5.95,2.113,2.72,2.41
,0.764,0.624,3.378,1.898,1.454,9.75,,84,0.45,yor-jd5,,6.18,2.498,92,18.9,0.446,0.729166667,,,,5.945,1.12,6.89,1.908,3.61,2.41
1,0.842,0.69,4.018,2.115,1.864,10.11,1,57,0.642,yor-jd6,18,6.878,2.51,63,17.7,0.464,0.833333333,22,1,1,6.405,1.02,6.4,2.415,3.2,2.62
1,0.768,0.638,4.25,2.17,2.038,9.76,1,63,0.672,yor-jd7,10,6.732,2.532,75,14,0.492,0.818181818,7,1,1,5.994,1.265,6.76,2.425,2.9,2.85
1,,,,,,,1,60,,,30,,,68,11.7,,,35,1,1,,,,,,
,,,,,,,,79,,,,,,99,9.5,,,,,,,,,,,
